ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
3.3	,8(1),3	,Chelsea,-	,68.1	,2	,7.46,2019/2020,EPL,3.1	,8	,-	,666	
2	,3,-	,Chelsea,-	,65.1	,-	,6.81,2019/2020,UCL,3.7	,1	,-	,251	
2.9	,40,5	,Aston Villa,-	,69.3	,3	,7.31,2018/2019,EC,3.1	,26	,3	,3450	
1.3	,1(2),-	,England U21,-	,76.9	,-	,6.46,2019,IEU,-	,1	,-	,120	
1.4	,15(16),2	,Swansea,-	,67.7	,-	,6.41,2017/2018,EPL,1.3	,5	,1	,1721	
2.7	,40(1),4	,Bristol City,-	,70.3	,3	,7.06,2016/2017,EC,2	,23	,3	,3425	
1	,0(2),-	,Chelsea,-	,70	,-	,5.96,2015/2016,EPL,0.5	,-	,-	,53	
2.4,129,14,,0,69.2,8,6.97,Total / Average,,2.2,64,7,9686
3.3	,8(1),3	,Chelsea,-	,68.1	,2	,7.46,2019/2020,EPL,3.1	,8	,-	,666	
2	,3,-	,Chelsea,-	,65.1	,-	,6.81,2019/2020,UCL,3.7	,1	,-	,251	
2.9	,40,5	,Aston Villa,-	,69.3	,3	,7.31,2018/2019,EC,3.1	,26	,3	,3450	
1.3	,1(2),-	,England U21,-	,76.9	,-	,6.46,2019,IEU,-	,1	,-	,120	
1.4	,15(16),2	,Swansea,-	,67.7	,-	,6.41,2017/2018,EPL,1.3	,5	,1	,1721	
2.7	,40(1),4	,Bristol City,-	,70.3	,3	,7.06,2016/2017,EC,2	,23	,3	,3425	
1	,0(2),-	,Chelsea,-	,70	,-	,5.96,2015/2016,EPL,0.5	,-	,-	,53	
2.4,129,14,,0,69.2,8,6.97,Total / Average,,2.2,64,7,9686
