ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.7	,5(2),1	,Tottenham,-	,83.4	,-	,6.98,2019/2020,EPL,0.4	,2	,1	,433	
1	,3,-	,Tottenham,-	,89.1	,1	,7.44,2019/2020,UCL,0.3	,-	,2	,216	
1.1	,7(1),2	,Lyon,-	,88.2	,-	,7.40,2018/2019,UCL,0.4	,2	,-	,637	
0.9	,31(3),1	,Lyon,-	,89.1	,3	,6.99,2018/2019,FL1,0.6	,1	,7	,2693	
-	,0(2),-	,France,-	,90	,-	,5.99,2018/2019,UNL,-	,-	,-	,10	
1	,8(2),1	,Lyon,-	,89.8	,-	,7.34,2017/2018,UEL,0.4	,1	,1	,707	
1.7	,3,-	,Amiens,-	,78.2	,-	,7.43,2017/2018,FL1,1	,-	,-	,237	
0.8	,28(4),1	,Lyon,-	,89.4	,5	,7.25,2017/2018,FL1,0.5	,-	,6	,2364	
0.9,99,6,,0,88.5,9,7.15,Total / Average,,0.5,6,17,7297
0.7	,5(2),1	,Tottenham,-	,83.4	,-	,6.98,2019/2020,EPL,0.4	,2	,1	,433	
1	,3,-	,Tottenham,-	,89.1	,1	,7.44,2019/2020,UCL,0.3	,-	,2	,216	
1.1	,7(1),2	,Lyon,-	,88.2	,-	,7.40,2018/2019,UCL,0.4	,2	,-	,637	
0.9	,31(3),1	,Lyon,-	,89.1	,3	,6.99,2018/2019,FL1,0.6	,1	,7	,2693	
-	,0(2),-	,France,-	,90	,-	,5.99,2018/2019,UNL,-	,-	,-	,10	
1	,8(2),1	,Lyon,-	,89.8	,-	,7.34,2017/2018,UEL,0.4	,1	,1	,707	
1.7	,3,-	,Amiens,-	,78.2	,-	,7.43,2017/2018,FL1,1	,-	,-	,237	
0.8	,28(4),1	,Lyon,-	,89.4	,5	,7.25,2017/2018,FL1,0.5	,-	,6	,2364	
0.9,99,6,,0,88.5,9,7.15,Total / Average,,0.5,6,17,7297
