ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,7,-	,Norwich,-	,58	,-	,6.93,2019/2020,EPL,1.1	,-	,-	,630	
-	,46,-	,Norwich,-	,60.3	,4	,6.58,2018/2019,EC,0.3	,-	,-	,4140	
-	,18,-	,AZ Alkmaar,-	,56.1	,1	,6.67,2016/2017,NE,0.2	,-	,-	,1650	
-	,2,-	,AZ Alkmaar,-	,63.2	,-	,5.55,2016/2017,UEL,-	,-	,-	,180	
-	,8,1	,Newcastle Uni..,-	,55.6	,-	,6.63,2015/2016,EPL,0.4	,-	,-	,720	
-	,30,-	,Newcastle Uni..,-	,47.8	,1	,6.40,2014/2015,EPL,0.2	,-	,1	,2700	
-	,36,1	,Newcastle Uni..,-	,51.3	,-	,6.60,2013/2014,EPL,0.1	,-	,-	,3240	
-	,0(1),-	,Netherlands,-	,-	,-	,6.00,2014,WC,-	,-	,-	,2	
-	,6,1	,Newcastle Uni..,-	,53.8	,1	,7.31,2012/2013,UEL,-	,-	,-	,540	
-	,24,-	,Newcastle Uni..,-	,46.8	,-	,6.67,2012/2013,EPL,0.2	,-	,1	,2127	
-	,38,2	,Newcastle Uni..,-	,43.3	,4	,6.74,2011/2012,EPL,-	,-	,-	,3420	
-	,20(1),-	,Newcastle Uni..,-	,47.9	,-	,6.43,2010/2011,EPL,0.1	,-	,-	,1855	
0,237,5,,0,51.2,11,6.61,Total / Average,,0.2,0,2,21204
-	,7,-	,Norwich,-	,58	,-	,6.93,2019/2020,EPL,1.1	,-	,-	,630	
-	,46,-	,Norwich,-	,60.3	,4	,6.58,2018/2019,EC,0.3	,-	,-	,4140	
-	,18,-	,AZ Alkmaar,-	,56.1	,1	,6.67,2016/2017,NE,0.2	,-	,-	,1650	
-	,2,-	,AZ Alkmaar,-	,63.2	,-	,5.55,2016/2017,UEL,-	,-	,-	,180	
-	,8,1	,Newcastle Uni..,-	,55.6	,-	,6.63,2015/2016,EPL,0.4	,-	,-	,720	
-	,30,-	,Newcastle Uni..,-	,47.8	,1	,6.40,2014/2015,EPL,0.2	,-	,1	,2700	
-	,36,1	,Newcastle Uni..,-	,51.3	,-	,6.60,2013/2014,EPL,0.1	,-	,-	,3240	
-	,0(1),-	,Netherlands,-	,-	,-	,6.00,2014,WC,-	,-	,-	,2	
-	,6,1	,Newcastle Uni..,-	,53.8	,1	,7.31,2012/2013,UEL,-	,-	,-	,540	
-	,24,-	,Newcastle Uni..,-	,46.8	,-	,6.67,2012/2013,EPL,0.2	,-	,1	,2127	
-	,38,2	,Newcastle Uni..,-	,43.3	,4	,6.74,2011/2012,EPL,-	,-	,-	,3420	
-	,20(1),-	,Newcastle Uni..,-	,47.9	,-	,6.43,2010/2011,EPL,0.1	,-	,-	,1855	
0,237,5,,0,51.2,11,6.61,Total / Average,,0.2,0,2,21204
