ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.5	,5(3),-	,Aston Villa,1	,83	,2	,6.55,2019/2020,EPL,0.8	,-	,1	,427	
2.5	,4,1	,Egypt,-	,75.2	,-	,7.56,2019,ACoN,0.5	,1	,1	,345	
4	,34,5	,Kasimpasa,-	,75	,2	,7.44,2018/2019,TS,0.6	,9	,9	,3058	
2.1	,31,8	,Kasimpasa,1	,76.7	,4	,7.53,2017/2018,TS,0.6	,13	,6	,2652	
2.7	,3,-	,Egypt,-	,78.7	,1	,6.80,2018,WC,2.7	,-	,-	,239	
-	,0(1),-	,Anderlecht,-	,100	,-	,5.83,2015/2016,UEL,-	,-	,-	,19	
2.9,81,14,,2,76.9,9,7.35,Total / Average,,0.7,23,17,6740
1.5	,5(3),-	,Aston Villa,1	,83	,2	,6.55,2019/2020,EPL,0.8	,-	,1	,427	
2.5	,4,1	,Egypt,-	,75.2	,-	,7.56,2019,ACoN,0.5	,1	,1	,345	
4	,34,5	,Kasimpasa,-	,75	,2	,7.44,2018/2019,TS,0.6	,9	,9	,3058	
2.1	,31,8	,Kasimpasa,1	,76.7	,4	,7.53,2017/2018,TS,0.6	,13	,6	,2652	
2.7	,3,-	,Egypt,-	,78.7	,1	,6.80,2018,WC,2.7	,-	,-	,239	
-	,0(1),-	,Anderlecht,-	,100	,-	,5.83,2015/2016,UEL,-	,-	,-	,19	
2.9,81,14,,2,76.9,9,7.35,Total / Average,,0.7,23,17,6740
