ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,0(2),-	,Tottenham,-	,89.5	,1	,6.01,2019/2020,EPL,0.5	,-	,-	,24	
0.3	,3,-	,Kenya,-	,77.8	,1	,6.42,2019,ACoN,1.3	,-	,-	,270	
0.5	,4(9),-	,Tottenham,-	,81	,2	,6.53,2018/2019,EPL,1.1	,1	,-	,513	
0.2	,4(2),-	,Tottenham,-	,76.8	,2	,6.13,2018/2019,UCL,0.8	,-	,-	,293	
-	,0(1),-	,Tottenham,-	,-	,-	,6.00,2017/2018,UCL,-	,-	,-	,1	
0.7	,8(10),-	,Tottenham,-	,87.2	,2	,6.64,2017/2018,EPL,1	,1	,-	,839	
-	,5,-	,Tottenham,-	,87.7	,1	,6.91,2016/2017,UCL,0.6	,-	,-	,428	
1.1	,35(1),2	,Tottenham,-	,87.5	,10	,7.21,2016/2017,EPL,1.7	,4	,1	,3016	
1	,2,-	,Tottenham,-	,82.8	,1	,7.24,2016/2017,UEL,1	,1	,-	,180	
1	,29(1),1	,Southampton,3	,82.4	,4	,7.02,2015/2016,EPL,2.1	,1	,1	,2501	
0.9	,26(6),2	,Southampton,-	,84.1	,10	,7.12,2014/2015,EPL,2.2	,3	,1	,2362	
0.8	,19(4),-	,Southampton,-	,84.3	,7	,6.88,2013/2014,EPL,2.3	,-	,-	,1661	
1.1	,7,-	,Celtic,-	,80.7	,3	,7.13,2012/2013,UCL,2.1	,1	,-	,566	
0.8,178,5,,3,83.8,44,6.93,Total / Average,,1.7,12,3,12654
-	,0(2),-	,Tottenham,-	,89.5	,1	,6.01,2019/2020,EPL,0.5	,-	,-	,24	
0.3	,3,-	,Kenya,-	,77.8	,1	,6.42,2019,ACoN,1.3	,-	,-	,270	
0.5	,4(9),-	,Tottenham,-	,81	,2	,6.53,2018/2019,EPL,1.1	,1	,-	,513	
0.2	,4(2),-	,Tottenham,-	,76.8	,2	,6.13,2018/2019,UCL,0.8	,-	,-	,293	
-	,0(1),-	,Tottenham,-	,-	,-	,6.00,2017/2018,UCL,-	,-	,-	,1	
0.7	,8(10),-	,Tottenham,-	,87.2	,2	,6.64,2017/2018,EPL,1	,1	,-	,839	
-	,5,-	,Tottenham,-	,87.7	,1	,6.91,2016/2017,UCL,0.6	,-	,-	,428	
1.1	,35(1),2	,Tottenham,-	,87.5	,10	,7.21,2016/2017,EPL,1.7	,4	,1	,3016	
1	,2,-	,Tottenham,-	,82.8	,1	,7.24,2016/2017,UEL,1	,1	,-	,180	
1	,29(1),1	,Southampton,3	,82.4	,4	,7.02,2015/2016,EPL,2.1	,1	,1	,2501	
0.9	,26(6),2	,Southampton,-	,84.1	,10	,7.12,2014/2015,EPL,2.2	,3	,1	,2362	
0.8	,19(4),-	,Southampton,-	,84.3	,7	,6.88,2013/2014,EPL,2.3	,-	,-	,1661	
1.1	,7,-	,Celtic,-	,80.7	,3	,7.13,2012/2013,UCL,2.1	,1	,-	,566	
0.8,178,5,,3,83.8,44,6.93,Total / Average,,1.7,12,3,12654
