ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.8	,9,2	,Liverpool,-	,87.4	,-	,7.30,2019/2020,EPL,5.4	,1	,-	,810	
1	,3,-	,Liverpool,-	,92	,-	,6.66,2019/2020,UCL,3.7	,-	,-	,270	
0.8	,38,4	,Liverpool,-	,89.7	,1	,7.44,2018/2019,EPL,4.8	,4	,2	,3385	
0.8	,12,-	,Liverpool,-	,86.7	,3	,7.08,2018/2019,UCL,3.4	,2	,2	,1080	
1.2	,6,-	,Netherlands,-	,90.2	,1	,7.24,2018/2019,UNL,3.2	,2	,-	,570	
0.3	,6,-	,Liverpool,-	,79.8	,1	,7.03,2017/2018,UCL,4.2	,-	,-	,540	
1.1	,14,1	,Liverpool,-	,89.8	,1	,7.35,2017/2018,EPL,5.6	,-	,-	,1260	
0.9	,11(1),1	,Southampton,-	,85.8	,-	,7.10,2017/2018,EPL,5	,-	,-	,993	
0.8	,21,3	,Southampton,1	,84.2	,3	,7.43,2016/2017,EPL,4.7	,1	,-	,1854	
1.7	,6,1	,Southampton,-	,86.1	,-	,7.59,2016/2017,UEL,4.2	,2	,-	,540	
0.9	,34,7	,Southampton,-	,83.1	,2	,7.56,2015/2016,EPL,4.8	,3	,-	,3060	
0.5	,8,-	,Celtic,1	,81.8	,2	,7.01,2014/2015,UEL,3.1	,-	,-	,666	
0.8	,6,-	,Celtic,-	,78.4	,2	,6.67,2013/2014,UCL,2.3	,-	,-	,540	
0.9,175,19,,2,86,16,7.32,Total / Average,,4.5,15,4,15568
0.8	,9,2	,Liverpool,-	,87.4	,-	,7.30,2019/2020,EPL,5.4	,1	,-	,810	
1	,3,-	,Liverpool,-	,92	,-	,6.66,2019/2020,UCL,3.7	,-	,-	,270	
0.8	,38,4	,Liverpool,-	,89.7	,1	,7.44,2018/2019,EPL,4.8	,4	,2	,3385	
0.8	,12,-	,Liverpool,-	,86.7	,3	,7.08,2018/2019,UCL,3.4	,2	,2	,1080	
1.2	,6,-	,Netherlands,-	,90.2	,1	,7.24,2018/2019,UNL,3.2	,2	,-	,570	
0.3	,6,-	,Liverpool,-	,79.8	,1	,7.03,2017/2018,UCL,4.2	,-	,-	,540	
1.1	,14,1	,Liverpool,-	,89.8	,1	,7.35,2017/2018,EPL,5.6	,-	,-	,1260	
0.9	,11(1),1	,Southampton,-	,85.8	,-	,7.10,2017/2018,EPL,5	,-	,-	,993	
0.8	,21,3	,Southampton,1	,84.2	,3	,7.43,2016/2017,EPL,4.7	,1	,-	,1854	
1.7	,6,1	,Southampton,-	,86.1	,-	,7.59,2016/2017,UEL,4.2	,2	,-	,540	
0.9	,34,7	,Southampton,-	,83.1	,2	,7.56,2015/2016,EPL,4.8	,3	,-	,3060	
0.5	,8,-	,Celtic,1	,81.8	,2	,7.01,2014/2015,UEL,3.1	,-	,-	,666	
0.8	,6,-	,Celtic,-	,78.4	,2	,6.67,2013/2014,UCL,2.3	,-	,-	,540	
0.9,175,19,,2,86,16,7.32,Total / Average,,4.5,15,4,15568
