ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
2.1	,9,1	,Aston Villa,-	,77	,-	,6.90,2019/2020,EPL,1.7	,4	,1	,773	
2	,2,1	,Club Brugge,-	,80	,1	,6.96,2018/2019,UEL,2	,1	,-	,174	
1.2	,6,-	,Club Brugge,-	,70.4	,1	,6.66,2018/2019,UCL,2.5	,2	,-	,522	
1.6	,2(3),-	,Club Brugge,-	,72.9	,-	,6.16,2016/2017,UCL,2.6	,-	,-	,206	
1.7,22,2,,0,74.5,2,6.67,Total / Average,,2.1,7,1,1675
2.1	,9,1	,Aston Villa,-	,77	,-	,6.90,2019/2020,EPL,1.7	,4	,1	,773	
2	,2,1	,Club Brugge,-	,80	,1	,6.96,2018/2019,UEL,2	,1	,-	,174	
1.2	,6,-	,Club Brugge,-	,70.4	,1	,6.66,2018/2019,UCL,2.5	,2	,-	,522	
1.6	,2(3),-	,Club Brugge,-	,72.9	,-	,6.16,2016/2017,UCL,2.6	,-	,-	,206	
1.7,22,2,,0,74.5,2,6.67,Total / Average,,2.1,7,1,1675
