ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.7	,8(1),1	,Crystal Palac..,-	,79.7	,1	,7.03,2019/2020,EPL,0.2	,-	,1	,745	
2	,3(1),-	,Ivory Coast,-	,84.9	,1	,7.14,2019,ACoN,0.5	,2	,1	,295	
2.1	,34,6	,Crystal Palac..,1	,77.3	,8	,7.21,2018/2019,EPL,0.3	,10	,5	,3041	
2.2	,28(1),3	,Crystal Palac..,-	,75.3	,5	,7.38,2017/2018,EPL,0.1	,9	,3	,2551	
1.4	,34(1),4	,Crystal Palac..,-	,79.9	,8	,7.38,2016/2017,EPL,0.4	,7	,9	,3025	
0.9	,30(4),2	,Crystal Palac..,-	,76.7	,5	,7.03,2015/2016,EPL,0.3	,2	,1	,2497	
1.3	,23(8),1	,Crystal Palac..,-	,73.3	,1	,6.97,2014/2015,EPL,0.4	,4	,2	,1982	
0.8	,5(7),-	,Cardiff,-	,79.3	,1	,6.58,2013/2014,EPL,0.3	,-	,1	,585	
0.5	,0(2),-	,Manchester Un..,-	,63.6	,-	,6.30,2013/2014,EPL,-	,-	,-	,28	
3	,2,-	,England U21,-	,86.3	,-	,6.72,2013,IEU,1.5	,-	,-	,180	
1.6,192,17,,1,77.1,30,7.13,Total / Average,,0.3,34,23,14929
1.7	,8(1),1	,Crystal Palac..,-	,79.7	,1	,7.03,2019/2020,EPL,0.2	,-	,1	,745	
2	,3(1),-	,Ivory Coast,-	,84.9	,1	,7.14,2019,ACoN,0.5	,2	,1	,295	
2.1	,34,6	,Crystal Palac..,1	,77.3	,8	,7.21,2018/2019,EPL,0.3	,10	,5	,3041	
2.2	,28(1),3	,Crystal Palac..,-	,75.3	,5	,7.38,2017/2018,EPL,0.1	,9	,3	,2551	
1.4	,34(1),4	,Crystal Palac..,-	,79.9	,8	,7.38,2016/2017,EPL,0.4	,7	,9	,3025	
0.9	,30(4),2	,Crystal Palac..,-	,76.7	,5	,7.03,2015/2016,EPL,0.3	,2	,1	,2497	
1.3	,23(8),1	,Crystal Palac..,-	,73.3	,1	,6.97,2014/2015,EPL,0.4	,4	,2	,1982	
0.8	,5(7),-	,Cardiff,-	,79.3	,1	,6.58,2013/2014,EPL,0.3	,-	,1	,585	
0.5	,0(2),-	,Manchester Un..,-	,63.6	,-	,6.30,2013/2014,EPL,-	,-	,-	,28	
3	,2,-	,England U21,-	,86.3	,-	,6.72,2013,IEU,1.5	,-	,-	,180	
1.6,192,17,,1,77.1,30,7.13,Total / Average,,0.3,34,23,14929
