ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
2	,5(3),-	,Chelsea,-	,81.7	,-	,7.08,2019/2020,EPL,0.4	,1	,1	,506	
1.7	,3,1	,Chelsea,-	,77.4	,-	,7.57,2019/2020,UCL,0.7	,1	,-	,241	
0.5	,0(4),-	,Brazil,-	,67.4	,-	,6.89,2019,ICA,0.3	,1	,-	,113	
1.9	,26(6),2	,Chelsea,-	,85.7	,2	,7.06,2018/2019,EPL,0.3	,3	,6	,2109	
1.7	,11(4),4	,Chelsea,-	,83	,-	,7.51,2018/2019,UEL,0.1	,3	,7	,899	
1.8	,4(4),3	,Chelsea,-	,72.5	,1	,7.39,2017/2018,UCL,0.3	,3	,1	,429	
1.5	,20(16),4	,Chelsea,-	,80.2	,1	,7.01,2017/2018,EPL,0.3	,6	,7	,1883	
1.3	,15(19),2	,Chelsea,-	,83.5	,3	,6.89,2016/2017,EPL,-	,8	,2	,1531	
1	,5,1	,Brazil,-	,84.5	,-	,6.96,2018,WC,0.8	,-	,1	,362	
2.1	,8,3	,Chelsea,-	,81.9	,-	,8.05,2015/2016,UCL,0.8	,5	,1	,642	
1.7	,32(3),3	,Chelsea,-	,82.4	,5	,7.20,2015/2016,EPL,0.1	,5	,6	,2751	
0.8	,4,-	,Brazil,-	,88.9	,-	,7.05,2015,ICA,0.3	,-	,1	,305	
0.7	,5(2),1	,Chelsea,-	,88.4	,1	,7.28,2014/2015,UCL,0.3	,1	,1	,486	
1.5	,28(8),-	,Chelsea,-	,85.1	,3	,7.02,2014/2015,EPL,0.4	,2	,3	,2418	
0.5	,10(1),-	,Chelsea,-	,84.2	,2	,7.15,2013/2014,UCL,0.3	,-	,2	,859	
1.8	,4,2	,Anzhi Makhach..,-	,83.4	,-	,7.94,2013/2014,RPL,-	,-	,3	,360	
1.8	,18(7),1	,Chelsea,1	,85.6	,3	,7.25,2013/2014,EPL,0.3	,4	,2	,1680	
0.6	,1(4),-	,Brazil,-	,94.7	,-	,6.35,2014,WC,-	,-	,-	,152	
1	,3,-	,Anzhi Makhach..,-	,87.2	,-	,6.91,2012/2013,UEL,-	,-	,1	,176	
2.5	,6,2	,Shakhtar Done..,-	,85.7	,-	,8.17,2012/2013,UCL,-	,4	,2	,525	
2.7	,6,-	,Shakhtar Done..,-	,85.9	,1	,7.34,2011/2012,UCL,0.5	,1	,-	,505	
1	,10,1	,Shakhtar Done..,-	,85.9	,-	,7.11,2010/2011,UCL,0.1	,2	,1	,844	
1.5,305,30,,1,83.5,22,7.15,Total / Average,,0.3,50,48,19776
2	,5(3),-	,Chelsea,-	,81.7	,-	,7.08,2019/2020,EPL,0.4	,1	,1	,506	
1.7	,3,1	,Chelsea,-	,77.4	,-	,7.57,2019/2020,UCL,0.7	,1	,-	,241	
0.5	,0(4),-	,Brazil,-	,67.4	,-	,6.89,2019,ICA,0.3	,1	,-	,113	
1.9	,26(6),2	,Chelsea,-	,85.7	,2	,7.06,2018/2019,EPL,0.3	,3	,6	,2109	
1.7	,11(4),4	,Chelsea,-	,83	,-	,7.51,2018/2019,UEL,0.1	,3	,7	,899	
1.8	,4(4),3	,Chelsea,-	,72.5	,1	,7.39,2017/2018,UCL,0.3	,3	,1	,429	
1.5	,20(16),4	,Chelsea,-	,80.2	,1	,7.01,2017/2018,EPL,0.3	,6	,7	,1883	
1.3	,15(19),2	,Chelsea,-	,83.5	,3	,6.89,2016/2017,EPL,-	,8	,2	,1531	
1	,5,1	,Brazil,-	,84.5	,-	,6.96,2018,WC,0.8	,-	,1	,362	
2.1	,8,3	,Chelsea,-	,81.9	,-	,8.05,2015/2016,UCL,0.8	,5	,1	,642	
1.7	,32(3),3	,Chelsea,-	,82.4	,5	,7.20,2015/2016,EPL,0.1	,5	,6	,2751	
0.8	,4,-	,Brazil,-	,88.9	,-	,7.05,2015,ICA,0.3	,-	,1	,305	
0.7	,5(2),1	,Chelsea,-	,88.4	,1	,7.28,2014/2015,UCL,0.3	,1	,1	,486	
1.5	,28(8),-	,Chelsea,-	,85.1	,3	,7.02,2014/2015,EPL,0.4	,2	,3	,2418	
0.5	,10(1),-	,Chelsea,-	,84.2	,2	,7.15,2013/2014,UCL,0.3	,-	,2	,859	
1.8	,4,2	,Anzhi Makhach..,-	,83.4	,-	,7.94,2013/2014,RPL,-	,-	,3	,360	
1.8	,18(7),1	,Chelsea,1	,85.6	,3	,7.25,2013/2014,EPL,0.3	,4	,2	,1680	
0.6	,1(4),-	,Brazil,-	,94.7	,-	,6.35,2014,WC,-	,-	,-	,152	
1	,3,-	,Anzhi Makhach..,-	,87.2	,-	,6.91,2012/2013,UEL,-	,-	,1	,176	
2.5	,6,2	,Shakhtar Done..,-	,85.7	,-	,8.17,2012/2013,UCL,-	,4	,2	,525	
2.7	,6,-	,Shakhtar Done..,-	,85.9	,1	,7.34,2011/2012,UCL,0.5	,1	,-	,505	
1	,10,1	,Shakhtar Done..,-	,85.9	,-	,7.11,2010/2011,UCL,0.1	,2	,1	,844	
1.5,305,30,,1,83.5,22,7.15,Total / Average,,0.3,50,48,19776
